Team,Player ID,Score,Position
a,p_a6,13.7,捕手
a,p_a3,10.9,捕手
a,p_a8,6.5,捕手
a,p_a5,4.9,捕手
a,p_a1,4.2,捕手
a,p_a2,3.0,捕手
a,p_a7,2.6,捕手
a,p_a4,1.8,捕手
a,p_a19,13.1,内野手
a,p_a10,12.1,内野手
a,p_a21,10.7,内野手
a,p_a18,8.1,内野手
a,p_a11,7.6,内野手
a,p_a15,7.0,内野手
a,p_a24,6.3,内野手
a,p_a12,5.7,内野手
a,p_a13,5.2,内野手
a,p_a16,5.2,内野手
a,p_a14,5.1,内野手
a,p_a9,4.0,内野手
a,p_a22,3.4,内野手
a,p_a23,3.2,内野手
a,p_a20,2.1,内野手
a,p_a17,0.4,内野手
a,p_a32,13.0,外野手
a,p_a25,12.4,外野手
a,p_a28,12.4,外野手
a,p_a36,10.6,外野手
a,p_a31,8.4,外野手
a,p_a33,5.8,外野手
a,p_a34,5.6,外野手
a,p_a29,3.3,外野手
a,p_a30,2.0,外野手
a,p_a35,1.8,外野手
a,p_a26,1.0,外野手
a,p_a27,0.7,外野手
a,p_a44,13.4,投手
a,p_a46,13.4,投手
a,p_a41,12.7,投手
a,p_a50,12.6,投手
a,p_a42,11.6,投手
a,p_a38,11.5,投手
a,p_a43,11.1,投手
a,p_a60,11.1,投手
a,p_a64,10.4,投手
a,p_a67,10.4,投手
a,p_a39,9.4,投手
a,p_a59,9.3,投手
a,p_a57,9.0,投手
a,p_a66,8.5,投手
a,p_a37,7.2,投手
a,p_a63,7.1,投手
a,p_a54,6.2,投手
a,p_a45,6.0,投手
a,p_a47,5.8,投手
a,p_a49,5.7,投手
a,p_a53,5.2,投手
a,p_a56,4.2,投手
a,p_a61,4.0,投手
a,p_a40,3.0,投手
a,p_a55,3.0,投手
a,p_a58,2.9,投手
a,p_a68,2.9,投手
a,p_a51,2.1,投手
a,p_a62,1.1,投手
a,p_a52,1.0,投手
a,p_a65,0.8,投手
a,p_a48,0.5,投手
b,p_b2,7.4,捕手
b,p_b4,4.2,捕手
b,p_b3,3.1,捕手
b,p_b7,3.0,捕手
b,p_b1,2.5,捕手
b,p_b8,2.1,捕手
b,p_b6,1.5,捕手
b,p_b5,1.1,捕手
b,p_b11,13.3,内野手
b,p_b20,13.0,内野手
b,p_b13,12.6,内野手
b,p_b14,11.9,内野手
b,p_b19,10.1,内野手
b,p_b23,9.7,内野手
b,p_b21,8.7,内野手
b,p_b22,8.6,内野手
b,p_b9,8.5,内野手
b,p_b24,8.3,内野手
b,p_b10,6.5,内野手
b,p_b15,6.2,内野手
b,p_b17,5.1,内野手
b,p_b16,4.3,内野手
b,p_b18,1.9,内野手
b,p_b12,0.3,内野手
b,p_b30,13.6,外野手
b,p_b29,10.5,外野手
b,p_b35,10.4,外野手
b,p_b26,10.2,外野手
b,p_b36,9.8,外野手
b,p_b27,9.3,外野手
b,p_b28,7.7,外野手
b,p_b33,7.0,外野手
b,p_b25,3.4,外野手
b,p_b31,2.1,外野手
b,p_b32,1.7,外野手
b,p_b34,0.3,外野手
b,p_b51,13.1,投手
b,p_b45,12.7,投手
b,p_b46,11.6,投手
b,p_b57,11.4,投手
b,p_b48,10.7,投手
b,p_b54,10.2,投手
b,p_b61,10.2,投手
b,p_b59,10.1,投手
b,p_b47,9.3,投手
b,p_b67,9.3,投手
b,p_b39,9.2,投手
b,p_b52,8.8,投手
b,p_b60,8.3,投手
b,p_b63,7.7,投手
b,p_b50,6.8,投手
b,p_b38,6.4,投手
b,p_b42,6.1,投手
b,p_b58,5.2,投手
b,p_b64,5.2,投手
b,p_b66,4.8,投手
b,p_b68,4.5,投手
b,p_b41,4.0,投手
b,p_b56,3.6,投手
b,p_b65,3.4,投手
b,p_b53,2.0,投手
b,p_b37,1.9,投手
b,p_b40,1.4,投手
b,p_b43,1.4,投手
b,p_b44,1.0,投手
b,p_b55,1.0,投手
b,p_b49,0.4,投手
b,p_b62,0.2,投手
c,p_c1,14.0,捕手
c,p_c4,14.0,捕手
c,p_c3,13.2,捕手
c,p_c5,10.1,捕手
c,p_c7,9.4,捕手
c,p_c8,7.8,捕手
c,p_c2,3.8,捕手
